"first_name","last_name","email","Remaining Goal Amount"
"Yvonne","Stout","yvonne.stout@sims.edu",183084.00
"Timoteo","Bolnbach","timoteo.bolnbach@laboratorios.com",182572.00
"Kimberly","Chan","kimberly.chan@gmail.com",182133.00
"Yves","Mendez","yves.mendez@gmail.com",159190.00
"Debra","Langlois","debra.langlois@schmiedecke.com",153318.00
"Calogero","Cross","calogero.cross@mercantini.it",153288.00
"Carmen","Oestrovsky","carmen.oestrovsky@gmail.com",151902.00
"Lauretta","Neal","lauretta.neal@hotmail.de",151747.00
"Mattia","Huet","mattia.huet@aol.de",150776.00
"Aurelia","Angiolello","aurelia.angiolello@lord.com",148692.00
"Maximiliano","Knowles","maximiliano.knowles@gmail.com",147083.00
"Denis","Rogers","denis.rogers@poste.it",146296.00
"Noelia","Romo","noelia.romo@yahoo.com",146133.00
"Heidi","Barker","heidi.barker@gmail.com",145327.00
"Philip","Perez","philip.perez@hotmail.co.uk",145169.00
"Toralf","Iglesias","toralf.iglesias@borrego.com",144608.00
"Seth","Olivier","seth.olivier@yahoo.com",143744.00
"Svetlana","Montanariello","svetlana.montanariello@putz.de",140143.00
"Reynaldo","Wagenknecht","reynaldo.wagenknecht@faure.com",138462.00
"Vito","Dossi","vito.dossi@hotmail.co.uk",138369.00
"Cynthia","Robinson","cynthia.robinson@gilles.net",136557.00
"Amador","Riley","amador.riley@hotmail.com",135188.00
"Hailey","Russell","hailey.russell@jourdan.org",134914.00
"Alphonse","Nitto","alphonse.nitto@voila.fr",134441.00
"Ilse","Bray","ilse.bray@venturi.it",134378.00
"Teresa","Vecellio","teresa.vecellio@yahoo.com",133741.00
"Janko","Bishop","janko.bishop@tim.it",132077.00
"Gabino","Blot","gabino.blot@lewis-russell.org",131066.00
"Emilio","Davenport","emilio.davenport@zamora-russo.net",129126.00
"Luce","Marty","luce.marty@waehner.org",126763.00
"Joseph","Glover","joseph.glover@laposte.net",126640.00
"Thierry","Schwartz","thierry.schwartz@travaglio.net",124285.00
"Lisa","Terragni","lisa.terragni@proyectos.com",124131.00
"Diether","Baeza","diether.baeza@grupo.biz",123524.00
"Sarah","Davis","sarah.davis@david.com",121093.00
"Gretchen","Serna","gretchen.serna@pichon.org",120176.00
"Volkmar","Gauthier","volkmar.gauthier@hotmail.com",118171.00
"Kathrin","Godfrey","kathrin.godfrey@tele2.fr",117446.00
"Christophe","Bohnbach","christophe.bohnbach@ifrance.com",116570.00
